,ID,RA,Dec,simbad_name,Morphology,Morphology_Detailed
332,A05_088T05_9000002952, 14:24:00.08, +31:34:06.10,,No identification within 1 arcsec,
333,A05_088T05_9000003088, 14:24:00.08, +31:34:06.10,,No identification within 1 arcsec,
334,A05_094T01_9000002726, 7:55:25.296, 39:11:10.140,Mrk  382,Seyfert_1,Seyfert 1 Galaxy
335,A05_094T01_9000003204, 7:55:25.296, 39:11:10.140,Mrk  382,Seyfert_1,Seyfert 1 Galaxy
336,A05_096T04_9000002406, 4:39:49.640, -68:9:1.400,1ES 0439-68.2,CataclyV*,Cataclysmic Variable Star
337,A05_096T06_9000002668, 5:37:43.001, -70:34:14.988,RX J0537.6-7033,XB,X-ray Binary
338,A05_097T01_9000002690, 14:07:17.52, +06:26:45.60,,No identification within 1 arcsec,
339,A05_101T01_9000002412, 20:58:32.899, -49:17:4.992,,No identification within 1 arcsec,
340,A05_101T02_9000002680, 3:30:40.790, -50:18:34.596,NGC  1356,IG,Interacting Galaxies
341,A05_101T03_9000002920, 20:41:13.870, -38:11:36.312,ESO 341-4,IG,Interacting Galaxies
342,A05_101T03_9000003112, 20:41:13.870, -38:11:36.312,ESO 341-4,IG,Interacting Galaxies
343,A05_101T04_9000002402, 21:30:43.390, -60:0:6.588,IC 5110,IG,Interacting Galaxies
344,A05_101T05_9000002502, 22:47:20.419, -65:3:31.392,,No identification within 1 arcsec,
345,A05_101T05_9000002902, 22:47:20.419, -65:3:31.392,,No identification within 1 arcsec,
346,A05_101T05_9000002938, 22:47:20.419, -65:3:31.392,,No identification within 1 arcsec,
347,A05_101T06_9000002656, 1:14:22.529, -55:23:55.356,,No identification within 1 arcsec,
348,A05_101T07_9000002482, 1:37:25.500, -64:53:47.004,,No identification within 1 arcsec,
349,A05_101T08_9000002922, 20:22:59.765, -44:16:17.508,,No identification within 1 arcsec,
350,A05_101T08_9000003102, 20:22:59.765, -44:16:17.508,,No identification within 1 arcsec,
351,A05_101T09_9000002466, 23:42:32.950, -65:57:23.400,NGC  7733,Seyfert_2,Seyfert 2 Galaxy
352,A05_101T10_9000002924, 20:16:57.300, -70:45:29.988,,No identification within 1 arcsec,
353,A05_101T10_9000003068, 20:16:57.300, -70:45:29.988,,No identification within 1 arcsec,
354,A05_103T01_9000002700, 12:04:09.39, +20:20:52.1,NGC  4066,GinGroup,Galaxy in Group of Galaxies
355,A05_103T02_9000002750, 07:42:24.90, -14:35:30.5,,No identification within 1 arcsec,
356,A05_103T05_9000002974, 16:17:09.53, -51:52:57.2,,No identification within 1 arcsec,
357,A05_103T05_9000003052, 16:17:09.53, -51:52:57.2,,No identification within 1 arcsec,
358,A05_103T06_9000003056, 17:13:32.62, -37:01:24.0,,No identification within 1 arcsec,
359,A05_104T02_9000002752, 8:11:14.700, 25:11:35.016,,No identification within 1 arcsec,
360,A05_104T03_9000002770, 13:58:35.801, 37:26:20.004,,No identification within 1 arcsec,
361,A05_104T04_9000002464, 23:47:1.699, 29:28:15.996,APG  86,PairG,Pair of Galaxies
362,A05_104T04_9000003108, 23:47:1.699, 29:28:15.996,APG  86,PairG,Pair of Galaxies
363,A05_104T05_9000002860, 15:34:57.254, 23:30:11.304,[SED98] APG 220NE,PartofG,Part of a Galaxy
364,A05_104T05_9000003120, 15:34:57.254, 23:30:11.304,[SED98] APG 220NE,PartofG,Part of a Galaxy
365,A05_104T06_9000002878, 12:1:53.299, -18:52:36.984,,No identification within 1 arcsec,
366,A05_104T07_9000002780, 12:30:33.701, 41:40:21.000,,No identification within 1 arcsec,
